Numero;Pergunta;Alternativa_A;Alternativa_B;Alternativa_C;Alternativa_D;Alternativa_E;Gabarito
1348;No dia da audiência, a empresa apresentou seis teste- decisão impugnada deixa de existir em razão da sentença de mérito munhas, protestando pela oitiva de todas. O empregado proferida, que a substitui. apresentou três testemunhas, afirmando ser este o limite a decisão liminar do juiz singular e não a decisão definitiva, sentença. Assinale a alternativa que mostra qual advogado agiu da uma decisão definitiva. forma determinada na CLT. concedida na sentença caberá recurso ordinário, os termos da súmula;O advogado da empresa agiu corretamente, pois trata- ”A“ otirabaG -se de inquérito para apuração de falta grave.;O juiz determinou que a empresa dispensasse três (;indeferir a petição inicial de plano e extinguir o pro-;Os dois advogados se equivocaram, pois o limite legal é de três por processo no rito ordinário, sendo (B) prosseguir normalmente no trâmite processual, pois as testemunhas do juÃzo. a matéria não pode ser conhecida de ofÃcio.;;A
1349;"representante da CIPA, para sua dispensa não é exigido o ajuizamento de zação do megaevento, os operários entraram em greve inquérito judicial para apuração de falta grave; paralisando os trabalhos integralmente. inicial para o ajuizamento do inquérito judicial é a data da suspensão Diante destes fatos, assinale a afirmativa que se coaduna do empregado ou, caso não haja a suspensão do empregado, a data com a legitimidade ativa para instauração do dissÃdio do cometimento da falta, ou seja, a data da descoberta do plano;";"Tanto a empresa Alfa Ltda. como o Sindicato da cate- termos do art. 8º, VIII, da CF e Súmula 197 do STF; goria dos empregados poderá instaurar a instância, por ser TÃcio dirigente sindical, sua dispensa somente pode ocorrer sendo o ato privativo das partes litigantes. por falta grave, precedida de inquérito judicial para apuração da falta,";Apenas o Sindicado dos Empregados poderá requerer;Por haver interesse público a legitimidade ativa é exclusiva da empresa e do sindicato, bem como do (;O dissÃdio poderá ser instaurado pelas partes por;;A
1350;não se admite o reexame de fatos e provas do processo que originou pagamento de numerário considerável. Contudo, o plano foi descoberto antes da venda, e a empresa, agora, pre- consubstanciado na Súmula 299, I, do TST, é indispensável ao tende dispensar ambos por falta grave. processamento da ação rescisória a prova do trânsito em julgado da Você foi contratado como consultor jurÃdico para indicar decisão rescindenda. a forma de fazê-lo. ”B“ otirabaG;Ajuizamento de inquérito para apuração de falta grave em face de TÃcio e Mévio, no prazo decadencial de 30 (trinta) dias, caso tenha havido suspensão deles para (;Não é possÃvel desistir da ação após a propositura (B) A Lei deixa ao arbÃtrio do juiz determinar a partir desta. de quando o nome do devedor deve ser inserido em;Oferecida a contestação, ainda que eletronicamente, cadastro restritivo de crédito, inclusive no BNDT. o reclamante não poderá, sem o consentimento do (C) A Justiça do Trabalho não atua mais com inserção e reclamado, desistir da ação. retirada do nome de devedores no BNDT, pelo que a;O oferecimento da defesa pelo réu em nada se atitude do magistrado é inócua e contrária às regras relaciona à questão da desistência de pedidos ou da da CLT. demanda. (D) A decisão que determinou a inserção do nome do devedor no BNDT está equivocada, porque somente;;A
1351;lei, depois de transcorrido o prazo de quarenta e cinco dias a contar da citação do executado, se não houver garantia do juÃzo. consultou você, como advogado(a), para encontrar uma uma quitação de direitos, de modo a prevenir conflitos ajuizada em fevereiro de 2018, os pedidos formulados trabalhistas. por Paulo em face do seu ex-empregador foram julgados Diante disso, na qualidade de advogado(a) da empresa, totalmente procedentes. Em relação à verba honorária, assinale a opção que indica a solução proposta. de acordo com a CLT, sabendo- se que o patrocÃnio de Paulo foi feito por advogado particular por ele contratado,;Poderá ser firmado termo de quitação anual de obri-;"Os termos de quitação firmados entre empregados e empregadores nada valem, apenas sendo válidos os acordos judiciais; logo, a empresa nada pode fazer. (B) Haverá condenação em honorários de, no mÃnimo, 10% e de, no máximo, 20% em favor do advogado.";Poderá ser firmado termo anual de quitação de obri- gações trabalhistas no sindicato profissional ou no (C) Haverá condenação em honorários de, no mÃnimo, sindicato patronal. 5% e de, no máximo, 15% em favor do advogado.;Basta firmar termo de quitação anual das obrigações (D) Somente se a assistência do advogado do autor for trabalhistas por mútuo consentimento. gratuita é que haverá condenação em honorários, de;;A
1352;a requerimento do exequente a tentativa de bloqueio pelo sistema Bacen-Jud e, paralelamente, inscreveu o dade empresária Móveis Perfeitos Ltda. por 4 (quatro) nome do executado no Banco Nacional de Devedores anos, quando foi dispensada sem justa causa, sem receber as verbas resilitórias. Em razão disso, ajuizou Diante da situação apresentada e dos termos da CLT, reclamação trabalhista pelo rito ordinário postulando assinale a afirmativa correta. os direitos relativos à sua saÃda, além de horas extras,;A atitude do magistrado está correta, eis que não equiparação salarial, adicional de insalubridade e houve o pagamento voluntário da dÃvida no prazo indenização por dano moral porque foi privada da legal, sendo a inserção imediata no BNDT uma ade- indenização que serviria para pagar as suas contas quada medida coercitiva judicial. regulares. Na audiência designada, após feito o pre- CCOOMMOO PPAASSSSAARR OOAABB 1166EEDD..iinnddbb 883366 2277//0033//22002200 1111::3311::4488 gão, a sociedade empresária informou, e comprovou (;A Lei não traz nenhuma previsão a respeito, daÃ na qualidade de advogado(a) que irá orientar Rômulo porque ficará a critério do prudente arbÃtrio do juiz acerca do custeio dos honorários periciais e do assistente;A sociedade empresária está equivocada, pois a sus- (A) Tendo Rômulo sido vitorioso no objeto da perÃcia, não pensão da reclamação trabalhista somente ocorreria há que se falar em pagamento de honorários periciais na fase executória, o que não é o caso. e do assistente técnico, pois a ré os custeará.;O Juiz do Trabalho, tendo sido deferida a recupe- (B) Independentemente do resultado no objeto da perÃ- ração judicial, deve suspender o processo, declarar cia, como ao final o rol de pedidos foi parcialmente sua incompetência e enviar os autos à Justiça Esta- procedente, Rômulo custeará os honorários periciais dual. e do assistente técnico.;;A
1353;justiça gratuita, hipótese em que a responsabilidade será da União, nos tulando horas extras e informando, na petição inicial, termos da súmula 457 do TST.3 No entanto, com relação aos honorários que não haveria prescrição porque apresentara protesto do assistente do perito, ensina a súmula 341 do TST que a indicação judicial quanto às horas extras em 04/06/2015, conforme do perito assistente é faculdade da parte, a qual deve responder pelos documentos que juntou aos autos. respectivos honorários, ainda que vencedora no objeto da perÃcia. HC Diante da situação retratada, considerando a Lei e o entendimento consolidado do TST, assinale a afirmativa dade empresária Solventes QuÃmicos S/A como motorista;A prescrição ocorreu graças ao decurso do tempo e de empilhadeira. Ocorre que, em uma viagem de lazer à inércia do titular. feita nas férias, Cristóvão sofreu um acidente automobilÃs-;A prescrição foi interrompida com o ajuizamento do tico e veio a óbito. Cristóvão deixou viúva, com quem era protesto. casado há 28 anos pelo regime da comunhão parcial de;A prescrição ocorreu, porque não cabe protesto judi- bens, e cinco filhos, sendo três deles maiores de 21 anos cial na seara trabalhista. e capazes, e dois menores de 21 anos. Diante da tragédia ocorrida, a sociedade empresária calculou as verbas;A prescrição não corre para os empregados maiores devidas em razão da extinção contratual decorrente da morte e pretende efetuar o pagamento a quem de direito.;;A
1354;justiça gratuita, hipótese em que a responsabilidade será da União, nos tulando horas extras e informando, na petição inicial, termos da súmula 457 do TST.3 No entanto, com relação aos honorários que não haveria prescrição porque apresentara protesto do assistente do perito, ensina a súmula 341 do TST que a indicação judicial quanto às horas extras em 04/06/2015, conforme do perito assistente é faculdade da parte, a qual deve responder pelos documentos que juntou aos autos. respectivos honorários, ainda que vencedora no objeto da perÃcia. HC Diante da situação retratada, considerando a Lei e o entendimento consolidado do TST, assinale a afirmativa dade empresária Solventes QuÃmicos S/A como motorista;A prescrição ocorreu graças ao decurso do tempo e de empilhadeira. Ocorre que, em uma viagem de lazer à inércia do titular. feita nas férias, Cristóvão sofreu um acidente automobilÃs-;A viúva e todos os filhos são sucessores, motivo pelo de trabalho,;"A viúva, por ser herdeira e meeira, ficará com 50% no rol dos tÃtulos executivos previstos no art. 876 da CLT e por essa da indenização pela ruptura do contrato de trabalho, razão não pode ser executado na Justiça do Trabalho; D: opção incor- dividindo-se o restante, igualmente, entre os filhos. reta, pois a ação monitória é compatÃvel com o processo do trabalho e";A Lei não é clara sobre quem deve receber a indeniza- será perfeitamente admitida, arts. 769 da CLT e art. 15 CPC/2015. HC;;A
1355;ção apenas para liberar o FGTS e permitir o acesso ao a súmula 341 do TST que a indicação do perito assistente é faculdade seguro-desemprego, lançando no TRCT um carimbo de da parte, a qual deve responder pelos respectivos honorários, ainda que nada havia sido pago. Jorge, então, ajuizou ação que vencedora no objeto da perÃcia. HC monitória na Justiça do Trabalho, cobrando a dÃvida de ”B“ otirabaG começou a trabalhar na sociedade empresária ABCD;O comportamento de Jorge é viável, sendo que, nesse Ltda. No dia seguinte ao completar 18 anos foi dispen- caso, o juiz expedirá mandado de pagamento, nos sado. A sociedade empresária pagou as verbas rescisórias, mas não pagou as horas extras trabalhadas ao longo de;Na Justiça do Trabalho, a ação monitória somente é todo o contrato de trabalho. possÃvel em causas de até dois salários mÃnimos, sendo Para o caso apresentado, na qualidade de advogado de que da sentença não caberá recurso, o que não é a;Jorge deveria ajuizar ação de execução de tÃtulo (A) A ação deverá ser ajuizada no prazo de dois anos extrajudicial, que é a natureza jurÃdica do TRCT contados da dispensa. preenchido, mas não quitado. (B) Sendo Carlos menor na época da contratação e;Jorge agiu mal, porque não cabe ação monitória na durante quase todo o pacto laboral, não corre pres- Justiça do Trabalho, em razão da incompatibilidade crição bienal, iniciando-se a quinquenal a partir da de procedimentos. data da dispensa.;;A
1356;local de trabalho não era perigoso, uma vez que Paulo foi vencedor na pretensão do objeto da perÃcia, razão pela qual não pagará os honorários periciais. Vide art. 790-B da CLT 6;Paulo deverá realizar o pagamento, pois honorários perÃcia, ainda que beneficiária da justiça gratuita. D: opção incorreta, periciais não se incluem na gratuidade de justiça, que pois o art. 790-B da CLT regula a hipótese em estudo.;A sociedade empresária deverá pagar a perÃcia, já que (;A União será a responsável pelo pagamento dos vendeu seu automóvel para seu patrão, sócio da socie- honorários periciais. dade empresária. Para sua surpresa, foi dispensado imo-;O perito deverá se habilitar como credor de Paulo até tivadamente 4 meses depois. Para garantir o pagamento que esse tenha condição de custear a perÃcia. de horas extras trabalhadas e não pagas, Jonas ajuizou ação trabalhista contra a sociedade empresária Bicicletas;;A
1357;local de trabalho não era perigoso, uma vez que Paulo foi vencedor na pretensão do objeto da perÃcia, razão pela qual não pagará os honorários periciais. Vide art. 790-B da CLT 6;Paulo deverá realizar o pagamento, pois honorários perÃcia, ainda que beneficiária da justiça gratuita. D: opção incorreta, periciais não se incluem na gratuidade de justiça, que pois o art. 790-B da CLT regula a hipótese em estudo.;A sociedade empresária deverá pagar a perÃcia, já que (;Descabe a compensação, porque a dÃvida imputada;O perito deverá se habilitar como credor de Paulo até tivadamente 4 meses depois. Para garantir o pagamento que esse tenha condição de custear a perÃcia. de horas extras trabalhadas e não pagas, Jonas ajuizou ação trabalhista contra a sociedade empresária Bicicletas;;A
1358;seu empregador. A gratuidade de justiça foi deferida e o empregador pedindo para ser mandado embora. O empre- perito realizou o laudo para receber ao final da demanda, gador aceitou a proposta, desde que tudo fosse realizado tudo;A União fica responsável pelo pagamento dos hono- rários periciais. (A) PlÃnio deverá impetrar Mandado de Segurança para;"Como Jairo é beneficiário da gratuidade de justiça, obter a homologação do acordo. está isento do pagamento de custas; logo, não poderá (B) A homologação do acordo é faculdade do juiz, que custear os honorários do perito, que ficam dispensados. poderá não homologá-lo.";A parte ré fica responsável pelo custeio da perÃcia, face (C) Sendo a conciliação um princÃpio do processo do à inversão do ônus da prova pela hipossuficiência do trabalho, deverá o processo ser remetido para outra empregado. Vara para homologação por outro juiz.;Jairo deverá custear os honorários parceladamente ou (D) PlÃnio deverá interpor reclamação correicional para compensá-los com o que vier a receber no restante obter a homologação do acordo. que ensina que a União é responsável pelo pagamento dos honorários de mandado de segurança, súmula 418 do TST. perito quando a parte sucumbente no objeto da perÃcia for beneficiária trabalho não está obrigado a homologar o acordo entabulado entre as da assistência judiciária gratuita, observado o procedimento disposto partes, na medida em que se constatar que esse ajuste viola preceito nos arts. 1º, 2º e 5º da Resolução 66/2010 do Conselho Superior da legal ou fere os interesses do trabalhador ou, ainda, se a vontade do Justiça do Trabalho – CSJT.7 não serão dispensados, como vimos a responsabilidade será da União. sendo, portanto, uma faculdade do magistrado, em conformidade;;A
1359;uma categoria profissional e a patronal, em que foram vimos, o juiz negará a homologação de acordo objetivando sempre a concedidas algumas vantagens econômicas à categoria proteção do trabalhador, portanto, não há que se falar em procedimento dos empregados, estas não foram cumpridas de ime- judicial contra à boa ordem processual. diato pela empresa Alfa Ltda. Diante disso, o sindicato profissional decidiu ajuizar ação de cumprimento em face da empresa. Sobre o caso apresentado, assinale a em reclamação trabalhista que moveu contra o seu ex-empregador, conferindo quitação quanto ao extinto;Deverá aguardar o trânsito em julgado da decisão, contrato de trabalho e, em contrapartida, recebeu, no para ajuizar a referida ação. ato da homologação judicial, a quantia de R$ 2.500,00;Poderá ajuizar a ação, pois o trânsito em julgado da em espécie. Dez dias após, Pedro arrependeu-se de ter sentença normativa é dispensável. aceitado a transação, entendendo que a quantia recebida;Não juntada a certidão de trânsito em julgado da seria inferior à que faria jus. sentença normativa, o feito será extinto sem resolução Considerando as circunstâncias do caso e de acordo de mérito. com o entendimento legal e jurisprudencial, assinale a;IncabÃvel a ação de cumprimento, no caso. afirmativa correta.;;A
1360;um par de óculos, mas o empregador exigiu que ele contestação, o réu negou veementemente a existência de pagasse também o valor da margem mÃnima de lucro condições insalubres e, por consequência, a violação do direito fundamental à saúde do empregado, não apenas Diante do ocorrido, assinale a alternativa que contempla porque o material utilizado por Arlindo não era tóxico, a ação que, de acordo com a CLT, deverá ser ajuizada por como também porque ele sempre utilizou equipamento Emerson para fazer prevalecer o seu direito. de proteção individual (luvas e máscara). Iniciada a fase;Execução de TÃtulo Extrajudicial. instrutória, foi feita prova pericial. Ao examinar o local de trabalho, o perito constatou que o material usado por;Mandado de Segurança. Arlindo não era tóxico como mencionado por ele na;Ação de Cumprimento. petição inicial. Entretanto, verificou que o autor trabalhou;Ação Monitória. submetido a nÃveis de ruÃdo muito acima do tolerado e sem a proteção adequada. Assim, por força desse outro agente insalubre não referido na causa de pedir, concluiu extrajudicial capaz de dar ensejo à propositura de uma execução de que o autor fazia jus ao pagamento do adicional pleite- tÃtulo extrajudicial. no art. 5º, LXIX, da CF e regulado pela Lei 12.016/2009 é classificado ado com o percentual de 20%. Com base nessa situação como uma ação constitucional de natureza mandamental destinada a concreta, é correto afirmar que o juiz deve julgar proteger direito legÃtimo e certo contra ato de autoridade, praticado (A) improcedente o pedido de pagamento de adicional de com ilegalidade ou abuso de poder.;;A
1361;um par de óculos, mas o empregador exigiu que ele contestação, o réu negou veementemente a existência de pagasse também o valor da margem mÃnima de lucro condições insalubres e, por consequência, a violação do direito fundamental à saúde do empregado, não apenas Diante do ocorrido, assinale a alternativa que contempla porque o material utilizado por Arlindo não era tóxico, a ação que, de acordo com a CLT, deverá ser ajuizada por como também porque ele sempre utilizou equipamento Emerson para fazer prevalecer o seu direito. de proteção individual (luvas e máscara). Iniciada a fase;Execução de TÃtulo Extrajudicial. instrutória, foi feita prova pericial. Ao examinar o local de trabalho, o perito constatou que o material usado por;procedente em parte o pedido de pagamento de;Ação de Cumprimento. petição inicial. Entretanto, verificou que o autor trabalhou;Ação Monitória. submetido a nÃveis de ruÃdo muito acima do tolerado e sem a proteção adequada. Assim, por força desse outro agente insalubre não referido na causa de pedir, concluiu extrajudicial capaz de dar ensejo à propositura de uma execução de que o autor fazia jus ao pagamento do adicional pleite- tÃtulo extrajudicial. no art. 5º, LXIX, da CF e regulado pela Lei 12.016/2009 é classificado ado com o percentual de 20%. Com base nessa situação como uma ação constitucional de natureza mandamental destinada a concreta, é correto afirmar que o juiz deve julgar proteger direito legÃtimo e certo contra ato de autoridade, praticado (A) improcedente o pedido de pagamento de adicional de com ilegalidade ou abuso de poder.;;A
1362;"rou a comissão de conciliação prévia de sua categoria, de insalubridade, uma vez que a existência de ruÃdo reclamando contra a ausência de pagamento de algumas não é agente insalubre; horas extras. A sessão foi designada para 20.07.2013, (D) procedente o pedido de pagamento de adicional de mas a empresa não compareceu. Munido de declaração insalubridade, uma vez que a constatação de agente neste sentido, Félix ajuizou reclamação trabalhista em insalubre distinto do mencionado na causa de pedir 22.07.2013 postulando as referidas horas extraordinárias. não prejudica o pedido respectivo. Em defesa, a ré arguiu prescrição bienal. A partir dessa situação, assinale a afirmativa correta.";Ocorreu prescrição porque a ação foi ajuizada após apontado na inicial seja diverso daquele apontado pela perÃcia o pedido dois anos do rompimento do contrato. deverá ser julgado totalmente procedente. Veja Súmula 293 do TST. C:;"é possÃvel a homologação do acordo, mas o INSS será (B) Seria obrigatória a intervenção do Ministério Público recolhido sobre R$ 15.000,00; do Trabalho como fiscal da lei nesse processo.";"a homologação do acordo, no caso, dependeria da (C) A competência funcional para julgamento dessa ação concordância do órgão previdenciário, pois inferior civil pública é do Tribunal Regional do Trabalho que ao valor homologado; tenha jurisdição no local onde se situa a sede da";é possÃvel a homologação do acordo, e o INSS será empresa. recolhido sobre R$ 10.000,00. (D) O ajuizamento dessa ação civil pública visou à tutela de interesses ou direitos meramente individuais. celebrado em qualquer momento processual, inclusive na fase de sobre o valor do acordo celebrado e homologado,;;A
1363;(A) somente é fonte subsidiária para aplicação das normas na execução trabalhista caso não exista regramento sobre o assunto no Código de Processo Civil, que é uma empresa por alegada violação às normas da CLT, o a primeira fonte subsidiária da legislação processual valor da multa importa em R$ 5.000,00. Pretendendo recorrer administrativamente da multa, a empresa (B) somente é fonte subsidiária do Processo do Trabalho;"não precisará recolher qualquer multa para ter apre- na execução das contribuições previdenciárias e ciado o seu recurso administrativo;";não precisará depositar a multa, pois isso somente será;"para ser isenta do depósito da multa, deverá valer-se na execução das contribuições previdenciárias. de ação própria requerendo judicialmente a isenção até o julgamento do recurso administrativo;";"deverá recolher o valor da multa, que ficará retida até sempre que a CLT ou a Lei 5.584/1970 for omissa; o julgamento do recurso administrativo. a lei de execução fiscal é aplicável a toda execução trabalhista; C:";;A
1364;"CCOOMMOO PPAASSSSAARR OOAABB 1166EEDD..iinnddbb 884422 2277//0033//22002200 1111::3311::4499 apresentar contestação em processo trabalhista, formu- não faz distinção entre pessoa fÃsica ou jurÃdica para a concessão da lou pedido de concessão da justiça gratuita, alegando assistência judiciária gratuita. No entanto, o benefÃcio para a pessoa dificuldades financeiras, sem a devida comprovação de jurÃdica vem sendo admitido de forma cautelosa, sempre condicionado incapacidade, e anexou, apenas, declaração de misera- a prova inequÃvoca de incapacidade financeira da parte. Precedente: bilidade firmada por seu representante legal. A respeito ROAG – 478/2008-909-09- 40; dessa situação hipotética e do benefÃcio da justiça gra- sentada na Opção “C”. tuita, assinale a opção correta. ”C“ otirabaG";Os benefÃcios da justiça gratuita só podem ser conce- (;A simples alegação de dificuldades financeiras é suficiente para a concessão do referido benefÃcio. (A) O termo conciliatório transita em julgado na data da publicação da homologação judicial.;Para que possa usufruir do benefÃcio da justiça gratuita, a empresa em questão deve comprovar a sua condição (B) O acordo homologado judicialmente tem força de de miserabilidade. decisão irrecorrÃvel, salvo para a previdência social,;"Cabe agravo de instrumento contra a decisão que pode receber os benefÃcios da justiça gratuita; em que, diferentemente da pessoa fÃsica, que basta fazer o pedido para receber os benefÃcios da justiça gratuita, a jurisprudência entende que a pessoa jurÃdica poderá ser beneficiária da justiça gratuita, desde tamente, pois vale como decisão irrecorrÃvel,";;A
1365;"equilibrado. Assim, a utilização de recursos naturais para a satisfação das necessidades atuais não deverá poluidor o dever de prevenir a ocorrência de danos ambientais e de comprometer a possibilidade das gerações futuras reparar integralmente eventuais danos que causar com a sua conduta; satisfazerem suas necessidades. O princÃpio impõe, aliás, a alternativa é absurda, pois, pagando, não se evita contaminação. também, equidade na distribuição de benefÃcios e ”C“ otirabaG custos entre gerações, quanto à preservação ambien- gerais do direito ambiental e a suas formas de materiali- zação, assinale a opção correta.";De acordo com o princÃpio da precaução, diante direito difuso ao meio ambiente, o ordenamento cons- de ameaças de danos sérios e irreversÃveis, a falta titucional exigiu o estudo de impacto ambiental para de certeza cientÃfica não pode ser invocada como instalação e desenvolvimento de certas atividades. Nessa motivo para se adiarem medidas destinadas a prevenir perspectiva, o estudo prévio de impacto ambiental está a degradação ambiental, podendo a administração concretizado no princÃpio pública, com base no poder de polÃcia, embargar;da prevenção. (B) Consoante o princÃpio do poluidor-pagador, a;da vedação ao retrocesso. definição dos custos de produção de determinada;do poluidor-pagador. empresa poluidora não pode levar em consideração os custos sociais externos decorrentes de sua ativi- O art. 225, § 1º, IV, da CF, ao impor a realização de estudo prévio dade poluente, sob pena de cometimento de infração de impacto ambiental para atividades potencialmente causadora de administrativa ambiental. significativa degradação ambiental, acabou por acolher o princÃpio da;;A
1366;de ameaças de danos sérios e irreversÃveis, a falta titucional exigiu o estudo de impacto ambiental para de certeza cientÃfica não pode ser invocada como instalação e desenvolvimento de certas atividades. Nessa motivo para se adiarem medidas destinadas a prevenir perspectiva, o estudo prévio de impacto ambiental está a degradação ambiental, podendo a administração pública, com base no poder de polÃcia, embargar;da precaução. obras ou atividades.;"Conforme o princÃpio do limite, o particular que pre- da questão decorre do PrincÃpio 15 da Declaração do Rio (produzida tenda desenvolver atividade ou empreendimento que na ECO/92); cause significativa degradação ambiental tem o dever afirma ser dever do poluidor arcar com os custos da poluição, levando de fixar parâmetros que levem em conta a proteção em consideração o interesse público), bem como o princÃpio do da vida e do próprio meio ambiente. poluidor-pagador;";Em conformidade com o princÃpio do desenvolvi- deve ser exigido para atividades que podem causar significativo impacto;do poluidor-pagador. empresa poluidora não pode levar em consideração os custos sociais externos decorrentes de sua ativi- O art. 225, § 1º, IV, da CF, ao impor a realização de estudo prévio dade poluente, sob pena de cometimento de infração de impacto ambiental para atividades potencialmente causadora de administrativa ambiental. significativa degradação ambiental, acabou por acolher o princÃpio da;;A
1367;com a ideia de antropocentrismo alargado ou holÃstico, para o fim de doutrina defende que apenas a União deverá criar reconhecer o valor intrÃnseco do meio ambiente, independentemente normas sobre regras de segurança de usinas nucleares. do valor que ele tem para o ser humano. FEDERAL;Tais ecossistemas são considerados pela CRFB/1988 (;Tais ecossistemas são considerados patrimônio nacio- que o § 1º do art. 231 do referido texto constitucional nal, devendo a lei infraconstitucional disciplinar as estabelece que são terras indÃgenas as habitadas por eles condições de utilização e de uso dos recursos naturais, em caráter permanente e que podem ser utilizadas por de modo a garantir a preservação do meio ambiente. esses povos, desde que necessárias ao seu bem-estar e à;Tais ecossistemas são considerados bens públicos, per- sua reprodução fÃsica e cultural. A esse respeito, assinale;Tais ecossistemas possuem terras devolutas que são, ter permanente por eles e, portanto, podem explorá- a partir da edição da Lei n. 9.985/2000, consideradas -las, sem necessidade de licenciamento ambiental. unidades de conservação de uso sustentável, devendo (B) Os indÃgenas são proprietários das terras que ocu- a lei especificar as regras de ocupação humana nessas pam em caráter permanente, mas devem explorá-las áreas. segundo as normas ambientais estabelecidas na Lei da PolÃtica Nacional do Meio Ambiente e do Código;;A
1368;mencionado ( uma usina de energia que opera com reatores nucleares. tradicionalmente ocupadas pelos Ãndios é da União ( A respeito do tema, é correto afirmar que;o Congresso Nacional irá definir, mediante a edição Florestal.;Os proprietários dos imóveis particulares inseridos nas florestas, caça, pesca, fauna, conservação da natureza, florestas e matas referidas nesse dispositivo constitu- proteção do meio ambiente e controle da poluição. cional podem utilizar os recursos naturais existentes Aos MunicÃpios cabe suplementar a legislação federal e a estadual, no que couber. nessas áreas, desde que observadas as prescrições legais e respeitadas as condições necessárias à pre- (D) A floresta amazônica brasileira, a mata atlântica e o servação ambiental. pantanal mato-grossense são considerados patrimônio nacional. Assim também o são a Serra do Mar, a zona;Tal preceito constitucional converteu em bens públi- costeira, o cerrado e a caatinga, devendo a utilização cos os imóveis particulares abrangidos pelas florestas de qualquer dessas áreas dar-se na forma da lei. e pelas matas nele referidas.;A Mata Atlântica, que integra o patrimônio nacional,;;A
1369;"é considerada bem da União. União – 176, 225, caput, da CF); desapropriação para fins de reforma agrária, nem com a existência arts. 24, VI e 30, II, da CF; de propriedade privada no local, vez que a norma constitucional não considerados patrimônio nacional ( proÃbe o uso desses locais, mas apenas determina que o uso seja ”C“ otirabaG regulamentado, criando uma especial proteção. constitucional no âmbito do meio ambiente, assinale a titucionais sobre meio ambiente, assinale a opção correta. (A) A Constituição consagra o direito ao meio ambiente";Sendo o meio ambiente bem de caráter difuso, não ecologicamente equilibrado fora do TÃtulo II, que se se reconhece legitimidade ao cidadão para que pro- refere aos direitos e garantias fundamentais. ponha, isoladamente, ação popular com o objetivo (B) As usinas que operem com reator nuclear devem ter de anulação de ato lesivo ao meio ambiente. sua localização definida em lei estadual.;Incumbe ao poder público definir, em todas as (C) O estudo prévio de impacto ambiental para instalação de unidades da Federação, espaços territoriais a serem obra potencialmente lesiva ao meio ambiente, embora especialmente protegidos, sendo a alteração e a não tenha sido expressamente consagrado na Constitui- supressão permitidas somente por meio de ato do ção, tornou-se obrigatório em virtude da jurisprudência Poder Executivo no exercÃcio do poder de polÃcia pacÃfica do Supremo Tribunal Federal (STF). administrativa. (D) Por disposição constitucional, o Atol das Rocas é;O direito à integridade do meio ambiente, que cons- considerado patrimônio nacional, devendo sua utili- titui prerrogativa jurÃdica de titularidade individual, e zação obedecer às condições de preservação do meio não coletiva, é assim atribuÃdo ao individuo identifi- ambiente. cado em sua singularidade.;"Além de buscar a conscientização pública para a Ordem Social (art. 225 da CF); preservação do meio ambiente, o poder público tem definida em lei federal (art. 225, § 6º, da CF); o encargo de promover a educação ambiental em samente previsto no art. 225, § 1º, IV, da CF; todos os nÃveis de ensino. Floresta Amazônica brasileira, a Mata Atlântica, a Serra do Mar, o Pan- tanal Mato-Grossense e a Zona Costeira são considerados patrimônio permitidas por meio de lei (art. 225, § 1º, III, da CF); condiz com o preceito do art. 225, caput, da CF: Todos têm direito (FGV – 2014) O art. 225, caput, da Constituição da Repú- ao meio ambiente ecologicamente equilibrado, bem de uso comum blica Federativa do Brasil dispõe que “Todos têm direito do povo e essencial à sadia qualidade de vida, impondo-se ao Poder ao meio ambiente ecologicamente equilibrado, bem de";;A
1370;"meio ambiente. especÃfica, ou seja, buscando o retorno do bem ao estado anterior, III. Ao poder público e à coletividade é imposto o dever cabendo, quando for o caso, outros tipos de reparação, como a com- de defender e preservar o meio ambiente para a pensação ambiental e a indenização; presente e as futuras gerações, o que se refere, expres- é um interesse difuso protegido administrativa, civil e penalmente em samente, à solidariedade intergeracional e traduz o suas várias facetas, aÃ incluÃdo o meio ambiente cultural; no plano civil chamado desenvolvimento sustentado. há de se buscar primariamente o retorno do bem ao estado anterior, Assinale: cabendo condenação em obrigação de fazer, conforme mencionado na alternativa, e também em dinheiro, quando for o caso (art. 3º da";"se somente as afirmativas I e III estiverem corretas. Lei 7.347/1985);";Compete à União, aos Estados e ao DF legislar concor-;se somente as afirmativas I e II estiverem corretas. sendo que a responsabilidade subjetiva em matéria ambiental somente;Um bem somente pode ter reconhecido seu valor;se somente a afirmativa II estiver correta.;A
